KERNEL DURATION_MS
2mm 124671
3mm 161053
adi 4428
atax 1436
bicg 1579
cholesky 552739
correlation 533635
covariance 529798
deriche 367
doitgen 2129
durbin 1560
fdtd-2d 371
floyd-warshall 12275742
gemm 125949
gemver 3199
gesummv 1345
gramschmidt 3812130
heat-3d 38
jacobi-1d 768
jacobi-2d 96
lu 1252589
ludcmp 830544
mvt 2061
nussinov 1957615
seidel-2d 38
symm 444104
syr2k 536772
syrk 349406
trisolv 811
trmm 198305
