KERNEL DURATION_MS
2mm 2300634
3mm 3822658
adi 39589
atax 5170
bicg 4580
cholesky 1385383
correlation 1642098
covariance 1647780
deriche 28187
doitgen 1635596
durbin 3246
fdtd-2d 2107493
floyd-warshall 19470260
gemm 1141381
gemver 10679
gesummv 2243
gramschmidt 2631667
heat-3d 1399077
jacobi-1d 1217
jacobi-2d 306097
lu 3423195
ludcmp 3051121
mvt 6610
nussinov 4130342
seidel-2d 103732
symm 1295875
syr2k 1576329
syrk 987103
trisolv 1354
trmm 1256210
