KERNEL DURATION_MS
correlation 1784.66
covariance 1130.57
2mm 265.65
3mm 471.36
atax 150.14
bicg 152.88
doitgen 400.64
mvt 220.21
gemm 101.12
gemver 516.23
gesummv 136.22
symm 524.69
syr2k 363.42
syrk 177.49
trmm 162.94
cholesky 12596.68
durbin 537.19
gramschmidt 511.8
lu 5105.24
ludcmp 4750.38
trisolv 225.72
deriche 1213.22
floyd-warshall 2901.24
nussinov 13301.56
adi 4638.81
fdtd-2d 539.88
heat-3d 3562.2
jacobi-1d 122.79
jacobi-2d 617.27
seidel-2d 351.37
