KERNEL DURATION_MS
2mm 1569325
3mm 2672335
adi 2302306
atax 3834
bicg 3826
cholesky 689283
correlation 1330322
covariance 1322325
deriche 36428
doitgen 372317
durbin 1512
fdtd-2d 1266283
floyd-warshall 16407801
gemm 682421
gemver 8314
gesummv 1673
gramschmidt 1957497
heat-3d 2472351
jacobi-1d 750
jacobi-2d 1475322
lu 2189457
ludcmp 1703307
mvt 4883
nussinov 3074677
seidel-2d 2235583
symm 894333
syr2k 1161752
syrk 651475
trisolv 936
trmm 749241
