KERNEL DURATION_MS 
2mm 16000
3mm 27000
adi 78000
atax 4000
bicg 3000
cholesky 52000
correlation 13000
covariance 38000
deriche -1
doitgen 4000
durbin 128000
fdtd-2d 25000
floyd-warshall 64000
gemm 2000
gemver 38000
gesummv 7000
gramschmidt 29000
heat-3d -1
jacobi-1d 1000
jacobi-2d 4000
lu 5000
ludcmp 229000
mvt 6000
nussinov -1
seidel-2d 1000
symm 323000
syr2k 151000
syrk 39000
trisolv 3000
trmm 36000
