KERNEL DURATION_MS
2mm 765412
3mm 1305724
adi 1379432
atax 3071
bicg 3037
cholesky 543167
correlation 500584
covariance 495775
deriche 20430
doitgen 229390
durbin 1380
fdtd-2d 823816
floyd-warshall 14274661
gemm 540335
gemver 5652
gesummv 1349
gramschmidt 725791
heat-3d 1880621
jacobi-1d 711
jacobi-2d 1018061
lu 1205005
ludcmp 747788
mvt 3286
nussinov 1952530
seidel-2d 1814735
symm 434825
syr2k 515735
syrk 338812
trisolv 802
trmm 303493
