KERNEL DURATION_MS
2mm 225
3mm 360
adi 202
atax 114
bicg 45
cholesky 447197
correlation 1758526
covariance 1808504
deriche 339
doitgen 35
durbin 1193
fdtd-2d 315
floyd-warshall 18402204
gemm 2615
gemver 1326
gesummv 23
gramschmidt 37761
heat-3d 28
jacobi-1d 543
jacobi-2d 83
lu 1035007
ludcmp 685373
mvt 35
nussinov 1553952
seidel-2d 30
symm 10455
syr2k 14580
syrk 9590
trisolv 622
trmm 9670
