KERNEL DURATION_MS
2mm 196618
3mm 227014
adi 8702
atax 1376
bicg 931
cholesky 4620025
correlation 6584657
covariance 6545568
deriche 602
doitgen 900428
durbin 6304
fdtd-2d 764
floyd-warshall 110452312
gemm 114265
gemver 5373
gesummv 1671
gramschmidt 4627716
heat-3d 45
jacobi-1d 17
jacobi-2d 49
lu 9927745
ludcmp 6154328
mvt 3147
nussinov 21621739
seidel-2d 40
symm 5139174
syr2k 4993371
syrk 3287268
trisolv 3233
trmm 721410
