KERNEL DURATION_MS
2mm 246801
3mm 440259
adi 3762
atax 2719
bicg 1320
cholesky 478826
correlation 476821
covariance 473742
deriche 395
doitgen 6887
durbin 1515
fdtd-2d 361
floyd-warshall 16607650
gemm 228591
gemver 4964
gesummv 1132
gramschmidt 3307776
heat-3d 32
jacobi-1d 671
jacobi-2d 104
lu 1100524
ludcmp 749427
mvt 2902
nussinov 1644112
seidel-2d 63
symm 397280
syr2k 456972
syrk 301134
trisolv 673
trmm 284344
