KERNEL DURATION_MS
correlation 1078655
covariance 1081027
2mm 1308712
3mm 1842909
atax 4414
bicg 4752
doitgen 290692
mvt 6234
gemm 593301
gemver 9247
gesummv 2490
symm 863492
syr2k 905780
syrk 512945
trmm 590058
cholesky 7926946
durbin 1883
gramschmidt 1623428
lu 9740918
ludcmp 9116541
trisolv 1303
deriche 31740
floyd-warshall 8366559
nussinov 1578821
adi 1641214
fdtd-2d 929718
heat-3d 1539259
jacobi-1d 0856
jacobi-2d 1032818
seidel-2d 1750890
