KERNEL DURATION_MS
2mm 207354
3mm 305862
adi 6258
atax 3922
bicg 3777
cholesky 699452
correlation 732498
covariance 726573
deriche 1142
doitgen 10625
durbin 1856
fdtd-2d 267939
floyd-warshall 17673987
gemm 157747
gemver 5209
gesummv 982
gramschmidt 1061341
heat-3d 1411
jacobi-1d 936
jacobi-2d 25698
lu 1648795
ludcmp 1136782
mvt 3073
nussinov 2479011
seidel-2d 9631
symm 641108
syr2k 699823
syrk 451257
trisolv 1006
trmm 432362
