KERNEL DURATION_MS
2mm 113181
3mm 144588
adi 4004
atax 1273
bicg 710
cholesky 499655
correlation 492495
covariance 489722
deriche 366
doitgen 1895
durbin 1385
fdtd-2d 346
floyd-warshall 17921887
gemm 113422
gemver 2816
gesummv 726
gramschmidt 2655425
heat-3d 32
jacobi-1d 655
jacobi-2d 95
lu 1132117
ludcmp 763889
mvt 1446
nussinov 1689923
seidel-2d 36
symm 407636
syr2k 478306
syrk 316812
trisolv 711
trmm 173497
