KERNEL DURATION_MS
2mm 5966037
3mm 10024582
adi 10762495
atax 3012
bicg 2961
cholesky 4327575
correlation 6414185
covariance 6384455
deriche 75205
doitgen 1644325
durbin 5710
fdtd-2d 7150964
floyd-warshall 113336160
gemm 4879883
gemver 22116
gesummv 6037
gramschmidt 8485346
heat-3d 19265994
jacobi-1d 2961
jacobi-2d 9180922
lu 9482130
ludcmp 5647026
mvt 12887
nussinov 20916049
seidel-2d 14653249
symm 4991234
syr2k 4844064
syrk 3130388
trisolv 3076
trmm 3157475
