KERNEL DURATION_MS
correlation 1841.72
covariance 1220.95
2mm 307.03
3mm 464.11
atax 119.52
bicg 147.3
doitgen 415.88
mvt 323.41
gemm 134.41
gemver 697.94
gesummv 153.13
symm 573.61
syr2k 451.14
syrk 232.08
trmm 194.64
cholesky 15703.23
durbin 533.36
gramschmidt 494.22
lu 6776.13
ludcmp 6500.68
trisolv 226.12
deriche 1792.68
floyd-warshall 2891.44
nussinov 15796.53
adi 5697.26
fdtd-2d 567.35
heat-3d 3570.75
jacobi-1d 123.32
jacobi-2d 576.64
seidel-2d 358.34
