KERNEL DURATION_MS
2mm 1059941
3mm 1712812
adi 5552
atax 3456
bicg 3205
cholesky 687747
correlation 793419
covariance 789942
deriche 26012
doitgen 538361
durbin 3191
fdtd-2d 1037
floyd-warshall 12983200
gemm 649007
gemver 6691
gesummv 1417
gramschmidt 1169159
heat-3d 620
jacobi-1d 1108
jacobi-2d 141
lu 1736604
ludcmp 1365090
mvt 3987
nussinov 2297546
seidel-2d 159
symm 682027
syr2k 712926
syrk 481048
trisolv 923
trmm 480606
